ticker,disease,stage,date,catalyst,label
NVO,Obesity,Phase 3,5/13/20,"Phase 3 data met primary endpoint - May 13, 2020.",5
BMY,Kaposi’s sarcoma,Approved,5/15/20,"FDA Approval announced May 15, 2020.",5
CLVS,Castrate-resistant prostate cancer (mCRPC),Approved,5/15/20,"FDA Approval announced May 15, 2020.",5
DCPH,Gastrointestinal Stromal Tumors (GIST) - fourth-line,Approved,5/15/20,"FDA Approval announced May 15, 2020.",5
BMY,First-line Non-small cell lung cancer (NSCLC),Approved,5/15/20,"FDA Approval announced May 15, 2020.",5
BPMC,Fourth-line GIST,CRL,5/15/20,"CRL issued May 15, 2020.",4
CCXI,Focal Segmental Glomerulosclerosis,Phase 2,5/18/20,"Phase 2 trial did not meet primary endpoint - May 18, 2020.",3
RHHBY,Non-small cell lung cancer (NSCLC),Approved,5/18/20,"FDA Approval announced May 18, 2020.",5
MRK,Castration-Resistant Prostate Cancer,Approved,5/19/20,"FDA Approval announced May 19, 2020.",5
AZN,Castration-Resistant Prostate Cancer,Approved,5/19/20,"FDA Approval announced May 19, 2020.",5
GILD,Ulcerative colitis,Phase 2/3,5/20/20,"Phase 2b/3 data released May 20, 2020. 200mg dose met primary endpoint. 100mg did not meet clinical remission endpoint.",4
GLPG,Ulcerative colitis,Phase 2/3,5/20/20,"Phase 2b/3 data released May 20, 2020. 200mg dose met primary endpoint. 100mg did not meet clinical remission endpoint.",4
SNDX,"HR+, HER2- breast cancer",Phase 3,5/21/20,"Phase 3 did not meet overall survival primary endpoint - May 21, 2020.",3
AQST,Parkinson’s Disease with motor fluctuations,Approved,5/21/20,"FDA approval announced May 21, 2020.",5
EVFM,contraceptive vaginal gel,Approved,5/22/20,"FDA Approval announced May 22, 2020.",5
TAK,ALK+ Metastatic Non-Small Cell Lung Cancer,Approved,5/22/20,"FDA Approval announced May 22, 2020.",5
XERS,Post-Bariatric Hypoglycemia,Phase 2b,5/22/20,"Phase 2b outpatient data released May 22, 2020.",4
BMY,First-line Non-small cell lung cancer (NSCLC),Approved,5/26/20,"FDA Approval announced May 26, 2020.",5
SNY,Atopic dermatitis 6-11 year-olds,Approved,5/26/20,"FDA Approval announced May 26, 2020.",5
REGN,Atopic dermatitis 6-11 year-olds,Approved,5/26/20,"FDA Approval announced May 26, 2020.",5
IRWD,Irritable Bowel Syndrome,Phase 2,5/27/20,"Phase 2 trial did not meet primary endpoint - May 27, 2020.",3
LLY,Patients evaluated for Alzheimer's Disease,Approved,5/28/20,"FDA Approval announced May 28, 2020.",5
NBIX,Uterine Fibroids,Approved,5/29/20,"FDA approval announced May 29, 2020.",5
ABBV,Uterine Fibroids,Approved,5/29/20,"FDA approval announced May 29, 2020.",5
PFE,Early stage breast cancer,Phase 3,5/29/20,"Phase 3 trial unlikely to show a statistically significant improvement in the primary endpoint following futility analysis - May 29, 2020.",3
KURA,Head and neck squamous cell carcinomas (HNSCC) with HRAS Mutations,Phase 2,5/29/20,"Phase 2 median OS of 15.4 months, median PFS of 5.9 months and ORR of 50% observed in recurrent/metastatic HRAS mutant HNSCC",4
RHHBY,Hepatocellular carcinoma,Approved,5/29/20,"FDA Approval announced May 29, 2020.",5
CRVS,Renal cell cancer,Phase 1/2,5/29/20,"Phase 1b/2 initial data from the RCC cohort at ASCO May 29, 2020. AdenoSig positive group -ORR of 17%. AdenoSig negative group - no partial responses.",3
VYNE,Papulopustular rosacea,Approved,5/29/20,"FDA Approval announced May 29, 2020.",5
LLY,Non-small cell lung cancer,Approved,5/29/20,"FDA Approval announced May 29, 2020.",5
LLY,Non-radiographic axial spondyloarthritis,Approved,6/1/20,"FDA Approval announced June 1, 2020.",5
ITRM,Complicated urinary tract infections (cUTI),Phase 3,6/1/20,"Phase 3 data did not meet primary endpoint - June 1, 2020.",3
OCGN,Graft Versus Host Disease,Phase 3,6/1/20,Phase 3 trial stopped early due to insufficient efficacy.,3
AZN,Type 2 Diabetes / coronary artery disease (CAD),Approved,6/1/20,"FDA approval announced June 1, 2020.",5
VYNE,Acne,Phase 2,6/2/20,"Phase 2 data released June 2, 2020.",4
TENX,Pulmonary Hypertension associated with Heart Failure and preserved Ejection Fraction (PH-HFpEF),Phase 2,6/2/20,"Phase 2 top-line data released June 2, 2020. Primary endpoint (Pulmonary Capillary Wedge Pressure (PCWP) with bicycle exercise) not met. Various secondary endpoints met.",4
MRK,Hospital-Acquired and Ventilator-Associated Bacterial Pneumonia (HABP/VABP),Approved,6/4/20,"FDA approval announced June 4, 2020.",5
SCNI,Universal flu vaccine,Phase 2,6/10/20,Phase 2 data met both primary endpoints.,5
BLUE,TDT and the β0/β0genotype,Phase 3,6/11/20,"Phase 3 updated data at EHA June 12, 2020. Six of eight evaluable patients achieved transfusion independence,",5
AMGN,Neuromyelitis Optica Spectrum Disorder,Approved,6/11/20,"FDA Approval announced June 11, 2020.",5
BGNE,Waldenström’s macroglobulinemia,Phase 1/2,6/12/20,"Phase 1/2 updated data at EHA 2020 noted overall response rate (ORR) was 80%, with a complete response (CR) rate of 15% and a partial response (PR) rate of 65%.",5
MRK,Prevention HPV-Related Head and Neck Cancers,Approved,6/12/20,"FDA Approval announced June 12, 2020.",5
LLY,Diabetes,Approved,6/15/20,"FDA Approval announced June 15, 2020.",5
XERS,Exercise-Induced Hypoglycemia,Phase 2b,6/15/20,"Phase 2b trial met primary endpoints - June 15, 2020.",5
CBIO,Hemophilia B,Phase 2b,6/15/20,"Phase 2b data noted after 28 days of daily SQ dosing of DalcA achieved protective target FIX levels of >12% in all participants, with FIX levels of up to 27% and a half-life of 2.5 to 5.1 days with no bleeds.",5
JNJ,generalized myasthenia gravis (gMG),Phase 2,6/15/20,"Phase 2 trial met primary endpoint - June 15, 2020.",5
JAZZ,Small cell lung cancer (SCLC),Approved,6/15/20,"FDA Approval announced June 15, 2020.",5
ABBV,Augmentation of the chin region,Approved,6/15/20,"FDA Approval announced June 15, 2020.",5
ORMP,Non-alcoholic steatohepatitis (NASH),Phase 2,6/15/20,Phase 2 interim data presented at ADA 2020 Scientific Sessions - mean 6.9% reduction in liver fat content.,5
NVS,Non-radiographic axial spondyloarthritis,Approved,6/16/20,"FDA Approval announced June 16, 2020.",5
MRK,Solid tumors - TMB-H ≥10 mutations/megabase,Approved,6/17/20,"FDA Approval June 17, 2020.",5
XERS,Type 1 diabetes,Phase 2,6/18/20,"Phase 2 data released June 18, 2020. 62% reduction of hyperglycemia after a glucose challenge.",5
RARE,Tumor-induced osteomalacia (TIO),Approved,6/18/20,"FDA Approval announced June 18, 2020.",5
RHHBY,Neoadjuvant triple negative breast cancer,Phase 3,6/18/20,"Phase 3 trial met primary endpoint - June 18, 2020.",5
NVO,Obesity,Phase 2,6/18/20,"Phase 2 primary endpoint met - June 18, 2020.",5
EPZM,Follicular lymphoma,Approved,6/18/20,"FDA approval announced June 18, 2020.",5
NBRV,Complicated urinary tract infections (cUTI),CRL,6/19/20,"CRL issued April 30, 2019. Further CRL received June 19, 2020.",4
EVOK,Diabetic gastroparesis,Approved,6/19/20,"FDA Approval announced June 19, 2020.",5
RHHBY,Castration-resistant prostate cancer,Phase 3,6/19/20,"Phase 3 data met one of two co-primary endpoints - June 19, 2020.",5
KPTI,Diffuse Large B-Cell Lymphoma (DLBCL),Approved,6/22/20,"FDA Approval announced June 22, 2020.",5
MRK,Cutaneous squamous cell carcinoma (cSCC),Approved,6/24/20,"FDA approval announced June 24, 2020.",5
PFE,Obsessive compulsive disorder (OCD),Phase 2/3,6/24/20,Phase 2/3 top-line data did not meet primary endpoint.,3
BHVN,Obsessive compulsive disorder (OCD),Phase 2/3,6/24/20,Phase 2/3 top-line data did not meet primary endpoint.,3
AZN,Paroxysmal nocturnal hemoglobinuria (PNH) and atypical Hemolytic Uremic Syndrome (aHUS),Phase 3,6/24/20,"Phase 3 trial met primary endpoint - June 24, 2020",5
AMYT,Acromegaly,Approved,6/26/20,"FDA approval announced June 26, 2020.",5
MOLN,Age-related macular degeneration (AMD),CRL,6/26/20,"CRL issued June 26, 2020.",4
ABBV,Age-related macular degeneration (AMD),CRL,6/26/20,"CRL issued June 26, 2020.",4
ITCI,Heart failure,Phase 1/2,6/29/20,"Phase 1/2 top-line data released June 29, 2020 noted improved cardiac output by increasing heart contractility and decreasing vascular resistance.",5
HALO,HER2-positive early breast cancer,Approved,6/29/20,"FDA Approval announced June 29, 2020.",5
RHHBY,HER2-positive early breast cancer,Approved,6/29/20,"FDA Approval announced June 29, 2020.",5
MRK,Colorectal cancer (CRC),Approved,6/29/20,"FDA Approval announced June 29, 2020.",5
RARE,Long-Chain Fatty Acid Oxidation Disorders (LC-FAOD),Approved,6/30/20,"FDA Approval announced June 30, 2020.",5
PFE,Bladder cancer,Approved,6/30/20,"FDA approval announced June 30, 2020.",5
RVNC,Forehead lines,Phase 2,6/30/20,"Phase 2 data noted 100% of subjects achieved a score of none or mild wrinkle or line severity at Week 4 in at least one treatment group - June 30, 2020.",5
RVNC,Lateral Canthal (Crow’s Feet) Lines,Phase 2,6/30/20,"Phase 2 top-line data released June 30, 2020. 88% of subjects achieved a score of none or mild wrinkle or line severity at Week 4 in at least one treatment group.",5
GSK,HIV,Approved,7/2/20,"FDA Approval announced July 2, 2020.",5
PFE,HIV,Approved,7/2/20,"FDA Approval announced July 2, 2020.",5
MEIP,Acute Myeloid Leukemia,Phase 3,7/2/20,"Phase 3 trial discontinued due to lack of efficacy - July 2, 2020.",3
SNY,Coronavirus COVID-19,Phase 3,7/2/20,"Phase 3 trial did not meet primary endpoint - July 2, 2020.",3
REGN,Coronavirus COVID-19,Phase 3,7/2/20,"Phase 3 trial did not meet primary endpoint - July 2, 2020.",3
ENDP,Edematous fibrosclerotic panniculopathy (“cellulite”),Approved,7/6/20,"FDA Approval announced July 6, 2020.",5
MRK,Hepatocellular Carcinoma,CRL,7/8/20,"CRL issued July 8, 2020.",4
CYDY,HIV,BLA Filing,7/13/20,"Refusal to file letter announced July 13, 2020.",4
JNJ,Psoriatic Arthritis,Approved,7/14/20,"FDA Approval announced July 14, 2020.",5
MOR,Psoriatic Arthritis,Approved,7/14/20,"FDA Approval announced July 14, 2020.",5
LLY,Psoriasis,Phase 3,7/17/20,"Phase 3 trial met primary and all key secondary endpoints vs placebo at Week 16 and all key secondary endpoints versus Cosentyx (secukinumab) at Week 16 and Week 52 - July 17, 2020.",5
ACAD,Adjunctive Treatment in Patients With Major Depressive Disorder,Phase 3,7/20/20,"Phase 3 trial did not meet primary endpoint - July 20, 2020.",3
JAZZ,Cataplexy and Excessive Daytime Sleepiness in Narcolepsy,Approved,7/22/20,"FDA Approval announced July 22, 2020.",5
AZN,Chronic obstructive pulmonary disease (COPD),Approved,7/24/20,"FDA approval announced July 24, 2020.",5
GILD,Relapsed or Refractory Mantle Cell Lymphoma (r/r MCL) - cancer,Approved,7/24/20,"FDA approval announced July 24, 2020.",5
RHHBY,Coronavirus COVID-19,Phase 3,7/29/20,"Phase 3 trial did meet primary endpoint - July 29, 2020.",5
EXEL,BRAF V600 mutation-positive metastatic or unresectable locally advanced melanoma,Approved,7/30/20,"FDA approval announced July 30, 2020.",5
RHHBY,BRAF V600 mutation-positive metastatic or unresectable locally advanced melanoma,Approved,7/30/20,"FDA approval announced July 30, 2020.",5
INCY,Relapsed or refractory diffuse large B cell lymphoma,Approved,7/31/20,"FDA Approval announced July 31, 2020.",5
XNCR,Relapsed or refractory diffuse large B cell lymphoma,Approved,7/31/20,"FDA Approval announced July 31, 2020.",5
MOR,Relapsed or refractory diffuse large B cell lymphoma,Approved,7/31/20,"FDA Approval announced July 31, 2020.",5
JNJ,Major depressive disorder (MDD),Approved,8/3/20,"FDA approval announced August 3, 2020.",5
JAZZ,Tuberous Sclerosis Complex,Approved,8/3/20,"FDA approval announced August 3, 2020.",5
DBVT,Peanut allergy - ages 4 to 11 years,CRL,8/4/20,"CRL issued August 4, 2020",4
REGN,Osteoarthritis pain of the hip or knee,Phase 3,8/5/20,"Phase 3 data achieved the co-primary endpoints for fasinumab 1 mg monthly. Fasinumab every two months did not reach statistical significance - August 5, 2020.",4
GSK,Multiple myeloma,Approved,8/5/20,"FDA approval granted August 5, 2020.",5
SGEN,Multiple myeloma,Approved,8/5/20,"FDA approval granted August 5, 2020.",5
TEVA,Osteoarthritis pain of the hip or knee,Phase 3,8/5/20,"Phase 3 data achieved the co-primary endpoints for fasinumab 1 mg monthly. Fasinumab every two months did not reach statistical significance - August 5, 2020.",4
RHHBY,Triple-negative breast cancer (TNBC),Phase 3,8/6/20,"Phase 3 trial did not meet primary endpoint - October 6, 2020.",3
RGNX,Homozygous familial hypercholesterolemia (HoFH),Phase 1/2,8/6/20,"Development to be discontinued - noted August 6, 2020.",3
GSK,HIV,Approved,8/6/20,"FDA approval announced August 6, 2020.",5
PTCT,Spinal Muscular Atrophy (SMA) Type 1,Approved,8/7/20,"FDA Approval announced August 7, 2020.",5
RHHBY,Spinal Muscular Atrophy (SMA) Type 1,Approved,8/7/20,"FDA Approval announced August 7, 2020.",5
TRVN,Moderate to severe acute pain,Approved,8/7/20,"FDA Approval announced August 7, 2020.",5
EGRX,Exertional heat stroke (EHS),CRL,8/10/20,"CRL announced August 10, 2020.",4
RHHBY,Ulcerative colitis,Phase 3,8/10/20,"HIBISCUS I induction study, in people without prior anti-tumor necrosis factor (anti-TNF) treatment, etrolizumab met the primary endpoint. HIBISCUS II induction study, including people without prior anti-TNF treatment, did not meet its primary endpoint.",4
CPRX,MuSK-antibody positive myasthenia gravis (MuSK-MG),Phase 3,8/10/20,"Phase 3 trial did not meet primary endpoint - August 10, 2020.",3
CYDY,COVID-19 (Mild to Moderate),Phase 2,8/11/20,"Phase 2 data released August 11, 2020 did not report primary endpoint data (TCSS at Day 14). Day 3 subgroup showed clinical improvement but not mentioned to be statistically significant. primary endpoint data for ALL treated patients NOT released. Secondary NEWS2 was met. No data on other secondary endpoints.",4
RHHBY,Neuromyelitis optica spectrum disorder (NMOSD),Approved,8/14/20,"FDA approval announced August 14, 2020.",5
VTRS,Multiple sclerosis - Tecfidera generic,Approved,8/17/20,"FDA approved August 17, 2020.",5
UBX,Osteoarthritis of the knee,Phase 2,8/17/20,"Phase 2 top-line data failed to meet primary endpoint - August 17, 2020.",3
VNDA,Pneumonia associated with COVID-19,Phase 3,8/18/20,"Phase 3 data August 18, 2020 noted statistically significant improvement by Day 7. However, improvement was not statistically significant at Day 28.",4
ALBO,Nonalcoholic steatohepatitis (NASH),Phase 2,8/18/20,"Phase 2 trial met primary endpoint. However, development in NASH will not continue - August 18, 2020.",3
GMAB,Multiple Myeloma,Approved,8/20/20,"FDA approval announced August 20, 2020.",5
JNJ,Multiple Myeloma,Approved,8/20/20,"FDA approval announced August 20, 2020.",5
GMAB,Relapsing multiple sclerosis,Approved,8/20/20,"FDA approval announced August 20, 2020.",5
NVS,Relapsing multiple sclerosis,Approved,8/20/20,"FDA approval announced August 20, 2020.",5
TCDA,Chronic kidney disease,CRL,8/24/20,"CRL announced August 24, 2020.",4
ONTX,2nd-line HR-MDS (high risk myelodysplastic syndromes),Phase 3,8/24/20,"Phase 3 trial did not meet primary endpoint - August 24, 2020.",3
IMVT,Myasthenia Gravis (MG),Phase 2,8/25/20,"Phase 2 data released August 25, 2020.",4
OTLK,Wet age-related macular degeneration (wet AMD),Phase 3,8/26/20,"Phase 3 data released August 26, 2020. No statistical differences between Lucentis (ranibizumab) and ONS-5010.",4
URGN,Overactive Bladder (OAB),Phase 2,8/27/20,"Phase 2 trial did not meet primary endpoint - August 27, 2020.",3
ACST,Hypertriglyceridemia,Phase 3,8/31/20,"TRILOGY 2 data August 31, 2020 also did not meet primary endpoint.",3
REGN,Coronavirus COVID-19,Phase 3,9/1/20,"Phase 3 global trial did not meet primary endpoint - September 1, 2020.",3
BMY,AML Maintenance,Approved,9/1/20,"FDA approval announced September 1, 2020.",5
SNY,Coronavirus COVID-19,Phase 3,9/1/20,"Phase 3 global trial did not meet primary endpoint - September 1, 2020.",3
SVRA,Nontuberculous mycobacterial (NTM) lung infection with cystic fibrosis (CF),Phase 2a,9/3/20,"Phase 2a trial to be discontinued - noted September 3, 2020.",3
BPMC,RET-fusion non-small cell lung cancer (NSCLC),Approved,9/4/20,"FDA Approval announced September 4, 2020.",5
CRBP,Systemic Sclerosis,Phase 3,9/8/20,"Phase 3 top-line data did not meet endpoints - September 8, 2020.",3
INVA,Asthma,Approved,9/9/20,"FDA approval announced September 9, 2020.",5
GSK,Asthma,Approved,9/9/20,"FDA approval announced September 9, 2020.",5
TBPH,Asthma,Approved,9/9/20,"FDA approval announced September 9, 2020.",5
GLPG,Systemic sclerosis,Phase 2,9/10/20,"Phase 2 trial met primary endpoint - September 10, 2020.",5
BGNE,Non-squamous non-small cell lung cancer (NSCLC),Phase 3,9/17/20,Phase 3 primary endpoint met - PFS 9.7 months in Arm A compared to 7.6 months in the chemotherapy alone Arm B (p=0.0044; stratified hazard ratio [HR]=0.64.,5
BGNE,Ovarian Cancers or Triple-Negative Breast Cancer,Phase 1/2,9/17/20,"Phase 1/2 data to be presented at ESMO September 2020. ORR 64.6% and 31.6% in cohorts 1 and 2, respectively.",4
MRTX,Urothelial Carcinoma (Bladder),Phase 2,9/18/20,Phase 2 at ESMO September 2020 noted objective response rate of 37% (1 complete response and 10 partial responses),4
INCY,Anal cancer,Phase 2,9/18/20,Phase 2 data noted objective response rate of 14% and disease control rate of 49%.,4
RHHBY,COVID-19,Phase 3,9/18/20,"Phase 3 trial met primary endpoint, with patients 44% less likely to progress to ventilation or death compared to patients who received placebo plus standard of care - September 18, 2020. No statistical difference in mortality.",5
MGNX,Anal cancer,Phase 2,9/18/20,Phase 2 data noted objective response rate of 14% and disease control rate of 49%.,4
ACIU,Alzheimer’s disease,Phase 2,9/23/20,"Phase 2 top-line data did not meet endpoints - September 23, 2020.",3
AERI,Open Angle Glaucoma,Phase 3,9/24/20,"Phase 3 top-line data released September 24, 2020. Non-inferiority to Ganfort achieved.",5
BHC,Allergic conjunctivitis,Approved,9/25/20,"FDA approval announced September 25, 2020.",5
GSK,Severe hypereosinophilic syndrome (HES),Approved,9/25/20,"FDA approval announced September 25, 2020.",5
ETON,Allergic conjunctivitis,Approved,9/25/20,"FDA approval announced September 25, 2020.",5
PFE,Juvenile idiopathic arthritis (JIA),Phase 3,9/28/20,"FDA approval announced September 28, 2020.",5
ETON,Pediatric adrenal insufficiency (AI),Approved,9/29/20,"FDA approval announced September 29, 2020.",5
IRWD,Gastroesophageal reflux disease (GERD),Phase 3,9/29/20,"Phase 3 trial did not meet primary endpoint - September 29, 2020.",3
OVID,CDKL5 Deficiency,Phase 2,9/30/20,"Phase 2 data released September 30, 2020. Median motor seizure frequency reduction was 24%.",5
SELB,Tophaceous gout,Phase 2,9/30/20,"Phase 2 top-line data released September 30, 2020. Numerically higher response rate on the primary endpoint during months 3 and 6 combined, but did not meet the primary endpoint of statistical superiority.",3
ALNY,Primary Hyperoxaluria Type 1,Phase 3,9/30/20,Clinically meaningful reduction in spot urinary oxalate:creatinine ratio.,5
BMY,Melanoma,Phase 3,10/2/20,Statistically significant improvement in RFS in the all-comer (intent-to-treat) population failed to show.,3
BMY,Mesothelioma,Approved,10/2/20,"FDA approval announced October 2, 2020.",5
TOVX,Constipation-Predominant Irritable Bowel Syndrome (C-IBS),Phase 2b,10/2/20,"Phase 2b interim futility analysis released October 2, 2020. Primary endpoint unlikely to be met. Trial to be discontinued.",3
MGTX,X-Linked Retinitis Pigmentosa,Phase 1/2,10/3/20,"Phase 1/2 nine-month data presented at EURETINA 2020 Virtual Meeting October 3, 2020.",4
SIOX,Parkinson's disease,Phase 1/2,10/6/20,"Two evaluable patients in Cohort 2 demonstrated a 21-point mean improvement in the UPDRS Part III “OFF” score, representing a 40% improvement from the baseline average score of 52 in these patients. Two other patients not evaluated.",5
KNSA,Giant cell arteritis (GCA),Phase 2,10/6/20,"Phase 2 trial met endpoints - October 6, 2020.",5
CANF,Rheumatoid arthritis,Phase 2,10/6/20,"Phase 3 interim analysis recommended trial to be discontinued - October 6, 2020.",3
CRBP,Cystic Fibrosis,Phase 2b,10/6/20,"Phase 2b trial did not meet primary endpoint - October 6, 2020.",3
PFE,Early stage breast cancer,Phase 3,10/9/20,"Phase 3 trial did not meet primary endpoint - October 9, 2020.",3
GOSS,Nasal polyps / chronic rhinosinusitis,Phase 2,10/13/20,"Phase 2 trial did not meet primary endpoint - October 13, 2020.",3
GOSS,Eosinophilic asthma,Phase 2b,10/13/20,"Phase 2b trial did not meet primary endpoint - October 13, 2020.",3
HRMY,Adult cataplexy,Approved,10/14/20,"FDA approval announced October 14, 2020.",5
REGN,Ebola,Approved,10/14/20,"FDA Approval announced October 14, 2020.",5
VRTX,alpha-1 antitrypsin (AAT) deficiency,Phase 2,10/14/20,Phase 2 trial and development to be discontinued due to safety.,3
CYCN,Sickle Cell disease,Phase 2,10/14/20,"Phase 2 data released October 14, 2020 - insufficient efficacy shown to support further development.",3
GLPG,Osteoarthritis,Phase 2,10/15/20,"Phase 2 trial did not meet primary endpoint - October 15, 2020.",3
MRK,Classical Hodgkin lymphoma,Approved,10/15/20,"FDA Approval announced October 15, 2020.",5
GILD,Osteoarthritis,Phase 2,10/15/20,"Phase 2 trial did not meet primary endpoint - October 15, 2020.",3
ABBV,Acute Myeloid Leukemia (AML),Approved,10/16/20,"FDA approval announced October 16, 2020.",5
RHHBY,Acute Myeloid Leukemia (AML),Approved,10/16/20,"FDA approval announced October 16, 2020.",5
APTX,Post-traumatic stress disorder (PTSD),Phase 2,10/19/20,"Phase 2 data released October 19, 2020. Primary endpoint met.",5
BIIB,Multiple sclerosis (MS),Phase 2,10/21/20,Phase 2b trial did not meet primary endpoint.,3
SCNI,Universal flu vaccine,Phase 3,10/23/20,"Phase 3 trial did not meet endpoints - October 23, 2020.",3
MRTX,Colorectal Cancer,Phase 1/2,10/25/20,Phase 1/2 updated data noted (23/51) 45% ORR in NSCLC patients.,4
LLY,COVID-19 antibody,Phase 3,10/26/20,"Phase 3 trial discontinued - October 26, 2020.",3
BSGM,COVID-19,Phase 2,10/26/20,"Phase 2 trial halted - October 26, 2020. Unlikely that the trial would meet its primary safety endpoints.",3
ATXS,Duchenne muscular dystrophy (DMD),Phase 3,10/26/20,"Phase 3 trial did not meet primary endpoint - October 26, 2020.",3
CCXI,Hidradenitis Suppurativa (HS),Phase 2b,10/28/20,"Phase 2b data released October 28, 2020. Primary endpoint across Hurley Stages 2 and 3 not met. Phase 3 trial planned in Stage 3 patients only.",3
PMCB,Pancreatic cancer,Phase 2b,10/30/20,"Phase 2b IND placed on clinical hold - October 1, 2020.",3
AUPH,Dry eye syndrome,Phase 2/3,11/2/20,"Phase 2/3 trial did not meet primary endpoint - November 2, 2020. Development to be suspended.",3
KPTI,Dedifferentiated liposarcoma,Phase 3,11/2/20,"Phase 3 trial met primary endpoint - November 2, 2020.",5
JNCE,Non-small cell lung cancer and bladder cancer,Phase 2,11/2/20,"Phase 2 interim analysis noted the trial will not meet pre-specified interim criteria for continuation of enrollment - November 2, 2020.",3
BMY,Plaque psoriasis,Phase 3,11/3/20,"Phase 3 trial met both co-primary endpoints - November 3, 2020.",5
TBPH,Asthma,Phase 2,11/5/20,"Phase 2a trial did not meet primary endpoint - November 5, 2020.",3
FIXX,Phenylketonuria (PKU),Phase 1/2,11/6/20,"Data released November 6, 2020 noted 2/6 showed meaningful reductions in Phe.",5
AZN,Acute ischaemic stroke,Approved,11/6/20,"FDA approval announced November 6, 2020.",5
PFE,Atopic dermatitis (AD),Phase 2b,11/9/20,"Phase 2b trial did not meet primary endpoint - November 9, 2020. Phase 3 trial planned.",4
ONCS,Melanoma - cancer,Phase 2b,11/9/20,"Phase 2b interim data presented at SITC November, 2020. 20% ORR.",4
LLY,COVID-19 Antibody,Approved,11/9/20,"Emergency Use Authorization (EUA) announced November 9, 2020.",5
ABCL,COVID-19 Antibody,Approved,11/9/20,"Emergency Use Authorization (EUA) announced November 9, 2020.",5
RVNC,Plantar fasciitis,Phase 2,11/9/20,"Phase 2 data did not meet primary endpoint - November 9, 2020.",5
MRK,Non-Small Cell Lung Cancer,Phase 3,11/9/20,"Phase 3 trial to discontinue due to futility - November 9, 2020.",3
VRCA,Genital warts,Phase 2,11/10/20,"Phase 2 primary endpoint met - November 10, 2020.",5
ETON,Nutritional deficiencies,CRL,11/12/20,"CRL received October 2020 (announced November 12, 2020).",4
JAZZ,Rett syndrome,Phase 3,11/12/20,"Phase 3 trial stopped due to COVID-19 - November 12, 2020.",3
SNY,Cold agglutinin disease,CRL,11/13/20,"CRL issued November 13, 2020.",4
OBSV,Pre-term labor,Phase 2a,11/16/20,"Phase 2a data released November 16, 2020. 7/56 (12.5%) of women receiving ebopiprant delivered within 48 hours of starting treatment compared to 12/55 (21.8%) receiving placebo (OR 90% CI: 0.52 (0.22, 1.23)).",5
EIGR,Hutchinson-Gilford Progeria Syndrome (HGPS),Approved,11/20/20,"FDA approval announced November 20, 2020.",5
RHHBY,Acute uncomplicated influenza (12 years and older),Approved,11/23/20,"FDA approval announced November 23, 2020.",5
BLPH,COVID-19,Phase 3,11/23/20,"Phase 3 trial placed on clinical hold - November 23, 2020.",3
BLRX,Consolidation treatment for AML cancer patients,Phase 2b,11/23/20,"Phase 2b trial did not meet primary endpoint - November 23, 2020.",3
VTRS,Pediatric Formulation of Dolutegravir (DTG),Approved,11/23/20,"FDA tentative approval announced November 23, 2020.",5
ALNY,Primary Hyperoxaluria Type 1 (PH1),Approved,11/24/20,"FDA approval announced November 24, 2020.",5
YMAB,Neuroblastoma,Approved,11/25/20,"FDA approval announced November 25, 2020.",5
RYTM,POMC deficiency obesity / Leptin Receptor Deficiency Obesity,Approved,11/27/20,"FDA approval announced November 27, 2020.",5
GLPG,Idiopathic pulmonary fibrosis (IPF),Phase 2,11/30/20,"Phase 2 data released November 30, 2020 - forced vital capacity (FVC) decline of 42mL across treatment groups at 26 weeks. Phase 2b trial planned.",5
BPMC,RET-mutant medullary thyroid cancer,Approved,12/1/20,"FDA approval announced December 1, 2020.",5
VNDA,Smith-Magenis Syndrome,Approved,12/1/20,"FDA approval announced December 1, 2020.",5
OVID,Adolescents with Angelman syndrome,Phase 3,12/1/20,"Phase 3 trial did not meet primary endpoint - December 1, 2020.",3
RHHBY,Chronic rhinosinusitis with nasal polyps (CRSwNP),Approved,12/1/20,"FDA approval announced December 1, 2020.",5
JAZZ,Small cell lung cancer (SCLC),Phase 3,12/3/20,"Phase 3 trial did not meet overall survival endpoint - December 3, 2020.",3
BCRX,Reduce or eliminate attacks in HAE patients,Approved,12/3/20,"FDA approval announced December 3, 2020",5
FATE,Non Hodgkin Lymphoma,Phase 1,12/4/20,"Phase 1 interim data released December 4, 2020. 2/4 complete responses and one partial response.",4
SYRS,Myelodysplastic Syndrome,Phase 2,12/5/20,"Phase 2 presentation December 5, 2020 at ASH. Overall response rate (ORR) was 67% (12/18).",5
CRDF,Acute Myeloid Leukemia (AML),Phase 1/2,12/6/20,"Phase 1/2 data presented at ASH December 6, 2020. 9 of 45 (20%) evaluated patients achieved CR/CRi.",4
ERYP,Acute lymphoblastic leukemia (ALL),Phase 2,12/6/20,"Phase 2 data presented at ASH December 6, 2020. Endpoints met.",5
GMDA,Severe aplastic anemia,Phase 2,12/6/20,Phase 2 data presented at ASH 2020 - sustained early engraftment shown.,5
AUTL,Relapsed or refractory diffuse large B-celllymphoma (DLBCL),Phase 2,12/7/20,"Phase 2 updated data at ASH December 7, 2020 noted objective response rate (ORR) of 65% and a CR rate of 51%.",5
SCPH,Heart failure,CRL,12/7/20,"CRL announced December 7, 2020.",4
